"place","pop1980","pop2000","pop2010","pop2022","pop2023","pop2030","pop2050","country","area","landAreaKm","cca2","cca3","netChange","growthRate","worldPercentage","density","densityMi","rank"
356,696828385,1059633675,1240613620,1417173173,1428627663,1514994080,1670490596,"India",3287590,2973190,"IN","IND",0.4184,0.0081,0.1785,480.5033,1244.5036,1
156,982372466,1264099069,1348191368,1425887337,1425671352,1415605906,1312636325,"China",9706961,9424702.9,"CN","CHN",-0.0113,-0.0002,0.1781,151.2696,391.7884,2
840,223140018,282398554,311182845,338289857,339996563,352162301,375391963,"United States",9372610,9147420,"US","USA",0.0581,0.005,0.0425,37.1686,96.2666,3
360,148177096,214072421,244016173,275501339,277534122,292150100,317225213,"Indonesia",1904569,1877519,"ID","IDN",0.0727,0.0074,0.0347,147.8196,382.8528,4
586,80624057,154369924,194454498,235824862,240485658,274029836,367808468,"Pakistan",881912,770880,"PK","PAK",0.1495,0.0198,0.03,311.9625,807.9829,5
566,72951439,122851984,160952853,218541212,223804632,262580425.99999997,377459883,"Nigeria",923768,910770,"NG","NGA",0.168,0.0241,0.028,245.7312,636.4439,6
76,122288383,175873720,196353492,215313498,216422446,223908968,230885725,"Brazil",8515767,8358140,"BR","BRA",0.0393,0.0052,0.027,25.8936,67.0645,7
50,83929765,129193327,148391139,171186372,172954319,184424144,203904900,"Bangladesh",147570,130170,"BD","BGD",0.0557,0.0103,0.0216,1328.6803,3441.2821,8
643,138257420,146844839,143242599,144713314,144444359,141432741,133133035,"Russia",17098242,16376870,"RU","RUS",-0.0158,-0.0019,0.018,8.82,22.8439,9
484,67705186,97873442,112532401,127504125,128455567,134534107,143772364,"Mexico",1964375,1943950,"MX","MEX",0.0299,0.0075,0.016,66.0797,171.1463,10
