"place","pop1980","pop2000","pop2010","pop2022","pop2023","pop2030","pop2050","country","area","landAreaKm","cca2","cca3","netChange","growthRate","worldPercentage","density","densityMi","rank"
336,733,651,596,510,518,561,731,"Vatican City",0.44,0.44,"VA","VAT",,0.0157,,1177.2727,3049.1364,234
798,7731,9638,10550,11312,11396,11917,13211,"Tuvalu",26,30,"TV","TUV",0,0.0074,0,379.8667,983.8547,227
520,7635,10377,10241,12668,12780,13358,14695,"Nauru",21,20,"NR","NRU",0,0.0088,0,639,1655.01,225
585,12252,19726,18540,18055,18058,17919,16689,"Palau",459,460,"PW","PLW",,0.0002,0,39.2565,101.6744,222
674,21346,26823,31608,33660,33642,33458,32043.999999999996,"San Marino",61,60,"SM","SMR",,-0.0005,0,560.7,1452.213,218
492,27076,32465.000000000004,33178,36469,36297,35862,37664,"Monaco",2.02,2,"MC","MCO",0,-0.0047,0,18148.5,47004.615,217
438,25003,33026,35926,39327,39584,41030,42287,"Liechtenstein",160,160,"LI","LIE",0,0.0065,0,247.4,640.766,216
584,31988,54224,53416,41569,41996,44733,51211,"Marshall Islands",181,180,"MH","MHL",0,0.0103,0,233.3111,604.2758,215
659,43097,45461,47403,47657,47755,48247,46882,"Saint Kitts and Nevis",261,260,"KN","KNA",0,0.0021,0,183.6731,475.7133,211
304,50106,56184,56351,56466,56643,57152,53997,"Greenland",2166086,410450,"GL","GRL",0,0.0031,0,0.138,0.3574,208
212,72978,68346,68755,72737,73040,74988,74167,"Dominica",751,750,"DM","DMA",0,0.0042,0,97.3867,252.2315,204
20,35611,66097,71519,79824,80088,81528,80504,"Andorra",468,470,"AD","AND",0,0.0033,0,170.4,441.336,203
