Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,ShipDate,UnitsSold,Unit Price,Unit Cost,Total Revenue,Total Cost,Profit
Australia and Oceania,Tuvalu,Baby Food,Offline,H,2022-02-10,669165933,2022-01-27,9925,255.28,159.42,2533654,1582243.5,951410.5
Central America and the Caribbean,Grenada,Cereal,Online,C,2022-12-08,963881480,2022-01-28,2804,205.7,117.11,576782.8,328376.44,248406.36
Europe,Russia,Office Supplies,Offline,L,2014-02-05,341417157,2022-01-29,1779,651.21,524.96,1158502.59,933903.84,224598.75
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,C,2014-06-20,514321792,2022-01-30,8102,9.33,6.92,75591.66,56065.84,19525.82
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,2013-01-02,115456712,2022-01-31,5062,651.21,524.96,3296425.02,2657347.52,639077.5
Australia and Oceania,Solomon Islands,Baby Food,Online,C,2015-04-02,547995746,2022-02-01,2974,255.28,159.42,759202.72,474115.08,285087.64
Sub-Saharan Africa,Angola,Household,Offline,M,4/23/2011,135425221,2022-02-02,4187,668.27,502.54,2798046.49,2104134.98,693911.51
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,7/17/2012,871543967,2022-02-03,8082,154.06,90.93,1245112.92,734896.26,510216.66
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,7/14/2015,770463311,2022-02-04,6070,81.73,56.67,496101.1,343986.9,152114.2
Sub-Saharan Africa,Senegal,Cereal,Online,H,4/18/2014,616607081,2022-02-05,6593,205.7,117.11,1356180.1,772106.23,584073.87
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,2014-02-08,939825713,2022-02-07,4168,109.28,35.84,455479.04,149381.12,306097.92
Asia,Bangladesh,Clothes,Online,L,1/13/2017,187310731,2022-02-08,8263,109.28,35.84,902980.64,296145.92,606834.72
Central America and the Caribbean,Honduras,Household,Offline,H,2017-08-02,522840487,2022-02-09,8974,668.27,502.54,5997054.98,4509793.96,1487261.02
Asia,Mongolia,Personal Care,Offline,C,2/19/2014,832401311,2022-02-10,4901,81.73,56.67,400558.73,277739.67,122819.06
Europe,Bulgaria,Clothes,Online,M,4/23/2012,972292029,2022-02-11,1673,109.28,35.84,182825.44,59960.32,122865.12
Asia,Sri Lanka,Cosmetics,Offline,M,11/19/2016,419123971,2022-02-12,6952,437.2,263.33,3039414.4,1830670.16,1208744.24
Sub-Saharan Africa,Cameroon,Beverages,Offline,C,2015-01-04,519820964,2022-02-13,5430,47.45,31.79,257653.5,172619.7,85033.8
Asia,Turkmenistan,Household,Offline,L,12/30/2010,441619336,2022-02-14,3830,668.27,502.54,2559474.1,1924728.2,634745.9
Australia and Oceania,East Timor,Meat,Online,L,7/31/2012,322067916,2022-02-15,5908,421.89,364.69,2492526.12,2154588.52,337937.6
Europe,Norway,Baby Food,Online,L,5/14/2014,819028031,2022-02-16,7450,255.28,159.42,1901836,1187679,714157
Europe,Portugal,Baby Food,Online,H,7/31/2015,860673511,2022-02-17,1273,255.28,159.42,324971.44,202941.66,122029.78
Central America and the Caribbean,Honduras,Snacks,Online,L,6/30/2016,795490682,2022-02-18,2225,152.58,97.44,339490.5,216804,122686.5
Australia and Oceania,New Zealand,Fruits,Online,H,2014-08-09,142278373,2022-02-19,2187,9.33,6.92,20404.71,15134.04,5270.67
Europe,Moldova,Personal Care,Online,L,2016-07-05,740147912,2022-02-20,5070,81.73,56.67,414371.1,287316.9,127054.2
Europe,France,Cosmetics,Online,H,5/22/2017,898523128,2022-02-21,1815,437.2,263.33,793518,477943.95,315574.05
Australia and Oceania,Kiribati,Fruits,Online,M,10/13/2014,347140347,2022-02-22,5398,9.33,6.92,50363.34,37354.16,13009.18
Sub-Saharan Africa,Mali,Fruits,Online,L,2010-07-05,686048400,2022-02-23,5822,9.33,6.92,54319.26,40288.24,14031.02
Europe,Norway,Beverages,Offline,C,7/18/2014,435608613,2022-02-24,5124,47.45,31.79,243133.8,162891.96,80241.84
Sub-Saharan Africa,The Gambia,Household,Offline,L,5/26/2012,886494815,2022-02-25,2370,668.27,502.54,1583799.9,1191019.8,392780.1
Europe,Switzerland,Cosmetics,Offline,M,9/17/2012,249693334,2022-02-26,8661,437.2,263.33,3786589.2,2280701.13,1505888.07
Sub-Saharan Africa,South Sudan,Personal Care,Offline,C,12/29/2013,406502997,2022-02-27,2125,81.73,56.67,173676.25,120423.75,53252.5
Australia and Oceania,Australia,Office Supplies,Online,C,10/27/2015,158535134,2022-02-28,2924,651.21,524.96,1904138.04,1534983.04,369155
Asia,Myanmar,Household,Offline,H,1/16/2015,177713572,2022-03-01,8250,668.27,502.54,5513227.5,4145955,1367272.5
