year,sex,name,count,prop,,
1880,F,Harry,636,0.00651612638826278,,
1880,F,Alice,241,0.00246916109995492,,
1880,F,Belina,117,0.00119872136387853,,
1880,F,Dora,112,0.00114749395516577,,
1880,F,Lacy,27,0.000276628007048891,,
1880,F,Dorowin,12,0.000122945780910618,,
1880,F,Jasmine,7,7.17183721978607E-05,,
1881,F,Harry,612,0.00619088564058469,,
1881,F,Alice,263,0.0026604622932578,,
1881,F,Belina,112,0.00113297253553184,,
1881,F,Dora,109,0.00110262505690152,,
1881,F,Lacy,38,0.000384401395984017,,
1881,F,Dorowin,14,0.00014162156694148,,
1881,F,Jasmine,7,7.081078347074E-05,,
1882,F,Harry,838,0.00724311990042871,,
1882,F,Alice,288,0.00248928225694925,,
1882,F,Belina,123,0.00106313096390541,,
1882,F,Dora,115,0.000993984234545706,,
1882,F,Lacy,36,0.000311160282118656,,
1882,F,Dorowin,15,0.00012965011754944,,
1882,F,Jasmine,8,6.91467293597013E-05,,
1883,F,Harry,862,0.0071798032633955,,
1883,F,Alice,287,0.00239049134175697,,
1883,F,Dora,141,0.00117442257556701,,
1883,F,Belina,120,0.000999508574950649,,
1883,F,Lacy,49,0.000408132668104848,,
1883,F,Dorowin,16,0.00013326780999342,,
1883,F,Jasmine,6,4.99754287475325E-05,,
1884,F,Harry,986,0.00716642681668193,,
1884,F,Alice,337,0.00244937711685782,,
1884,F,Dora,163,0.00118471356097277,,
1884,F,Belina,144,0.00104661811521521,,
1884,F,Lacy,33,0.000239849984736819,,
1884,F,Jasmine,14,0.000101754538979257,,
1884,F,Dorowin,13,9.44863576235954E-05,,
1884,F,Patricia,6,4.36090881339671E-05,,
1885,F,Harry,1134,0.00798878470436565,,
1885,F,Alice,339,0.0023881816708818,,
1885,F,Dora,196,0.00138077760322369,,
1885,F,Belina,155,0.0010919414719371,,
1885,F,Lacy,60,0.000422687021395008,,
1885,F,Dorowin,10,7.0447836899168E-05,,
1885,F,Jasmine,6,4.22687021395008E-05,,
1885,F,Patricia,5,3.5223918449584E-05,,
1886,F,Harry,1267,0.00824140084300359,,
1886,F,Alice,370,0.0024067232138211,,
1886,F,Dora,230,0.00149607118696987,,
1886,F,Belina,167,0.00108627777488682,,
1886,F,Lacy,49,0.000318728209397929,,
1886,F,Jasmine,11,7.15512306811677E-05,,
1886,F,Dorowin,10,6.50465733465161E-05,,
1886,F,Patricia,8,5.20372586772129E-05,,
1887,F,Harry,1405,0.00903990426065808,,
1887,F,Alice,338,0.00217472429900529,,
1887,F,Dora,272,0.00175007399209893,,
1887,F,Belina,178,0.00114526900953533,,
1887,F,Lacy,50,0.000321704777959362,,
1887,F,Dorowin,15,9.65114333878087E-05,,
1887,F,Patricia,10,6.43409555918724E-05,,
1887,F,Jasmine,8,5.1472764473498E-05,,
1888,F,Harry,1847,0.0097494286000834,,
1888,F,Alice,404,0.0021325225524817,,
1888,F,Dora,373,0.00196888839622691,,
1888,F,Belina,214,0.00112960353027496,,
1888,F,Lacy,77,0.000406446130052205,,
1888,F,Dorowin,26,0.000137241550407238,,
1888,F,Jasmine,18,9.50133810511647E-05,,
1888,F,Patricia,12,6.33422540341098E-05,,
1889,F,Harry,1909,0.010088838858677,,
1889,F,Alice,413,0.00218265607576406,,
1889,F,Dora,377,0.00199240034034637,,
1889,F,Belina,189,0.000998842610942876,,
1889,F,Lacy,74,0.000391081233914142,,
1889,F,Patricia,17,8.9842986169465E-05,,
1889,F,Dorowin,12,6.34185784725635E-05,,
1889,F,Jasmine,9,4.75639338544226E-05,,
1890,F,Harry,2312,0.0114647849608997,,
